new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
66	BUS_NETWORK%CARRIER_SENSE	BUS NETWORK	CARRIER SENSE	43	3	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
67	BUS_NETWORK%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_DETECTION	BUS NETWORK	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
68	BUS_NETWORK%ETHERNET_NETWORK	BUS NETWORK	ETHERNET NETWORK	24	2	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.	The star topology has roots as far back as the 1970s.
69	BUS_NETWORK%ETHERNET_PROTOCOL	BUS NETWORK	ETHERNET PROTOCOL	76	1	This can be done by connecting the networks to form a larger version of the same " type " of network.	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.
70	BUS_NETWORK%HUB	BUS NETWORK	HUB	33	2	Instead, it may have a very short bus with long links to the individual machines, meaning that the network would look more like a star.	Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.	This hub is little more than a very short bus.
71	BUS_NETWORK%HUB	BUS NETWORK	HUB	34	2	Indeed, sometimes a bus network is created by running links from each computer to a central location where they are connected to a device called a hub.	This hub is little more than a very short bus.	All it does is relay any signal it receives (with perhaps some amplification) back out to all the machines connected to it.
72	BUS_NETWORK%MULTIPLE_ACCESS_WITH_COLLISION_DETECTION	BUS NETWORK	MULTIPLE ACCESS WITH COLLISION DETECTION	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
73	BUS_NETWORK%REPEATER	BUS NETWORK	REPEATER	77	2	For example, in the case of bus networks based on the Ethernet protocols, it is often possible to connect the buses to form a single long bus.	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).
74	BUS_NETWORK%REPEATER	BUS NETWORK	REPEATER	78	3	This is done by means of different devices known as repeaters, bridges, and switches, the distinctions of which are subtle yet informative.	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.
75	BUS_NETWORK%ROUTER	BUS NETWORK	ROUTER	99	1	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.	As an example, Figure 4.5 depicts two wifi star networks and an Ethernet bus network connected by routers.	When a machine in one of the wifi networks wants to send a message to a machine in the ethernet network, it first sends the message to the access point in its network.
