ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
161	INTERNET%INTERNET_PROTOCOL_ADDRESS	INTERNET	INTERNET PROTOCOL ADDRESS	215	4	As we learned in Section 4.1, an internet needs an internet-wide addressing system that assigns a unique identifying address to each computer in the system.	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.
162	INTERNET%INTERNET_SERVICE_PROVIDER	INTERNET	INTERNET SERVICE PROVIDER	172	3	As we have already mentioned, the Internet is a collection of connected networks.	In general, these networks are constructed and maintained by organizations called internet service providers (ISPs).	It is also customary to use the term internet service provider in reference to the networks themselves.
163	INTERNET%INTERNET_SOFTWARE	INTERNET	INTERNET SOFTWARE	501	2	Each level in the hierarchy has representatives at both the origin and the destination, with the representatives at the destination tending to do the reverse of their counterparts at the origin.	Such is the case with software for controlling communication over the Internet, except that the internet software has four layers rather than three, each consisting of a collection of software routines rather than people and businesses.	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).
164	INTERNET%INTERNET2	INTERNET	INTERNET2	198	4	Internet2	Now that the Internet has shifted from a research project to a household commodity, the research community has moved on to a project called Internet2.	Internet2 is intended as an academic-only system and involves numerous universities working in partnership with industry and government.
165	INTERNET%INTERNET2	INTERNET	INTERNET2	199	4	Now that the Internet has shifted from a research project to a household commodity, the research community has moved on to a project called Internet2.	Internet2 is intended as an academic-only system and involves numerous universities working in partnership with industry and government.	The goal is to conduct research in internet applications requiring high bandwidth communication, such as remote access and control of costly state-of-the-art equipment such as telescopes and medical diagnostic devices.
166	INTERNET%INTRANET	INTERNET	INTRANET	252	1	Each registered domain represented a physical region of the Internet that was operated by a local authority such as a company, university, or government agency.	This authority was essentially an access internet service provider that provided internet access to its members by means of its own intranet that was linked to the Internet.	As part of this system, the organization maintained its own name server that provided translation services for all the names used within its domain.
167	INTERNET%PROTOCOL	INTERNET	PROTOCOL	19	1	The Internet (a popular worldwide network of networks that we will study in this chapter) is an open system.	In particular, communication throughout the Internet is governed by an open collection of standards known as the transmission control protocol/internet protocol protocol suite, which is the subject of Section 4.4.	Anyone is free to use these standards without paying fees or signing license agreements.
168	INTERNET%ROUTER	INTERNET	ROUTER	97	1	Indeed, traditional telephone communication was handled by worldwide internet systems well before the Internet was popularized.	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.
169	INTERNET%TIER-1_INTERNET_SERVICE_PROVIDER	INTERNET	TIER-1 INTERNET SERVICE PROVIDER	176	1	The system of networks operated by the internet service providers can be classified in a hierarchy according to the role they play in the overall Internet structure (Figure 4.7).	At the top of this hierarchy are relatively few tier-1 internet service providers that consist of very highspeed, high-capacity, international wide area networks.	These networks are thought of as the backbone of the Internet.
170	INTERNET%TIER-2_INTERNET_SERVICE_PROVIDER	INTERNET	TIER-2 INTERNET SERVICE PROVIDER	183	1	Again, these networks tend to be operated by companies in the communications business.	Tier-1 and tier-2 internet service providers are essentially networks of routers that collectively provide the Internet's communication infrastructure.	As such, they can be thought of as the core of the Internet.
171	INTERNET%TIER-3_INTERNET_SERVICE_PROVIDER	INTERNET	TIER-3 INTERNET SERVICE PROVIDER	185	2	As such, they can be thought of as the core of the Internet.	Access to this core is usually provided by an intermediary called an access or tier-3 internet service provider.	An access internet service provider is essentially an independent internet, sometimes called an intranet, operated by a single authority that is in the business of supplying internet access to individual homes and businesses.
172	INTERNET%TRADITIONAL_TELEPHONE	INTERNET	TRADITIONAL TELEPHONE	96	1	There are many other examples of internets.	Indeed, traditional telephone communication was handled by worldwide internet systems well before the Internet was popularized.	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.
